"respondentid";"fardmedel.kat";"ar.manad"
2001000042;"Cykel";"2020/1"
2001000132;"Bil";"2020/1"
2001000479;"Bil";"2020/1"
2001000714;"Kollektiv";"2020/1"
2001000851;"Bil";"2020/1"
2001001280;"Cykel";"2020/1"
2001001389;"Bil";"2020/1"
2001001398;"Bil";"2020/1"
2001001756;"Kollektiv";"2020/1"
2001002267;"Gang";"2020/1"
2001002327;"Cykel";"2020/1"
2001002758;"Kollektiv";"2020/1"
2001002782;"Cykel";"2020/1"
2001002814;"Kollektiv";"2020/1"
2001002832;"Gang";"2020/1"
2001002887;"Kollektiv";"2020/1"
2001003217;"Bil";"2020/1"
2001003782;"Bil";"2020/1"
2001004049;"Cykel";"2020/1"
2001004062;"Bil";"2020/1"
2001004122;"Cykel";"2020/1"
2001004265;"Gang";"2020/1"
2001004276;"Cykel";"2020/1"
2001004282;"Gang";"2020/1"
2001004334;"Cykel";"2020/1"
2001004675;"Bil";"2020/1"
2001004980;"Bil";"2020/1"
2001005012;"Kollektiv";"2020/1"
2001005021;"Bil";"2020/1"
2001005061;"Bil";"2020/1"
2001005130;"Bil";"2020/1"
2001005180;"Bil";"2020/1"
2001005201;"Kollektiv";"2020/1"
2001005276;"Kollektiv";"2020/1"
2001005480;"Bil";"2020/1"
2001005532;"Bil";"2020/1"
2001005585;"Bil";"2020/1"
2001005615;"Cykel";"2020/1"
2001005741;"Bil";"2020/1"
2001005771;"Kollektiv";"2020/1"
2001005918;"Cykel";"2020/1"
2001005919;"Bil";"2020/1"
2001005920;"Bil";"2020/1"
2001005932;"Bil";"2020/1"
2001006124;"Bil";"2020/1"
2001006140;"Bil";"2020/1"
2001006188;"Bil";"2020/1"
2001006240;"Bil";"2020/1"
2001006292;"Kollektiv";"2020/1"
2001006548;"Cykel";"2020/1"
2001006612;"Bil";"2020/1"
2001006934;"Bil";"2020/1"
2001007053;"Bil";"2020/1"
2001007201;"Bil";"2020/1"
2001007251;"Bil";"2020/1"
2001007330;"Bil";"2020/1"
2001007842;"Bil";"2020/1"
2001007928;"Kollektiv";"2020/1"
2001008047;"Bil";"2020/1"
2001008087;"Bil";"2020/1"
2001008184;"Bil";"2020/1"
2001008244;"Kollektiv";"2020/1"
2001008310;"Bil";"2020/1"
2001008337;"Bil";"2020/1"
2001008383;"Kollektiv";"2020/1"
2001008465;"Bil";"2020/1"
2001008500;"Bil";"2020/1"
2001008509;"Kollektiv";"2020/1"
2001008719;"Kollektiv";"2020/1"
2001008849;"Bil";"2020/1"
2001009414;"Kollektiv";"2020/1"
2001009628;"Kollektiv";"2020/1"
2001009764;"Bil";"2020/1"
2001010110;"Kollektiv";"2020/1"
2001010111;"Bil";"2020/1"
2001010526;"Bil";"2020/1"
2001011037;"Kollektiv";"2020/1"
2001011188;"Kollektiv";"2020/1"
2001011361;"Kollektiv";"2020/1"
2001011363;"Bil";"2020/1"
2001011500;"Cykel";"2020/1"
2001011505;"Kollektiv";"2020/1"
2001011631;"Kollektiv";"2020/1"
2001011634;"Cykel";"2020/1"
2001011798;"Kollektiv";"2020/1"
2001012010;"Bil";"2020/1"
2001012021;"Cykel";"2020/1"
2001012129;"Cykel";"2020/1"
2001012137;"Gang";"2020/1"
2001012286;"Kollektiv";"2020/1"
2001012340;"Bil";"2020/1"
2001012538;"Cykel";"2020/1"
2001012655;"Kollektiv";"2020/1"
2001012661;"Kollektiv";"2020/1"
2001012786;"Cykel";"2020/1"
2001012847;"Kollektiv";"2020/1"
2001012954;"Bil";"2020/1"
2001013352;"Bil";"2020/1"
2001013428;"Bil";"2020/1"
2001013664;"Cykel";"2020/1"
2001013901;"Gang";"2020/1"
2001013952;"Kollektiv";"2020/1"
2001013953;"Bil";"2020/1"
2001014101;"Bil";"2020/1"
2001014269;"Bil";"2020/1"
2001014270;"Bil";"2020/1"
2001014380;"Bil";"2020/1"
2001014381;"Cykel";"2020/1"
2001014607;"Cykel";"2020/1"
2001014641;"Kollektiv";"2020/1"
2001014687;"Bil";"2020/1"
2001014717;"Gang";"2020/1"
2001014882;"Kollektiv";"2020/1"
2001014928;"Bil";"2020/1"
2001015072;"Bil";"2020/1"
2001015796;"Kollektiv";"2020/1"
2001016049;"Bil";"2020/1"
2001016066;"Bil";"2020/1"
2001016258;"Cykel";"2020/1"
2001016486;"Kollektiv";"2020/1"
2001016551;"Kollektiv";"2020/1"
2001016569;"Bil";"2020/1"
2001016570;"Kollektiv";"2020/1"
2001016893;"Cykel";"2020/1"
2001017052;"Cykel";"2020/1"
2001017094;"Bil";"2020/1"
2001017214;"Bil";"2020/1"
2001017553;"Cykel";"2020/1"
2001018009;"Kollektiv";"2020/1"
2001018071;"Kollektiv";"2020/1"
2001018620;"Bil";"2020/1"
2001018847;"Bil";"2020/1"
2001018855;"Bil";"2020/1"
2001019375;"Kollektiv";"2020/1"
2001019406;"Cykel";"2020/1"
2001019534;"Kollektiv";"2020/1"
2001019642;"Cykel";"2020/1"
2001019698;"Bil";"2020/1"
2001019863;"Bil";"2020/1"
2001019866;"Bil";"2020/1"
2001020010;"Bil";"2020/1"
2001020021;"Gang";"2020/1"
2001020135;"Bil";"2020/1"
2001020265;"Bil";"2020/1"
2001020558;"Bil";"2020/1"
2001020560;"Kollektiv";"2020/1"
2001020616;"Cykel";"2020/1"
2001020876;"Bil";"2020/1"
2001020887;"Gang";"2020/1"
2001020934;"Gang";"2020/1"
2001021334;"Bil";"2020/1"
2001021335;"Kollektiv";"2020/1"
2001021407;"Bil";"2020/1"
2001021641;"Bil";"2020/1"
2001021678;"Bil";"2020/1"
2001021935;"Kollektiv";"2020/1"
2001022011;"Cykel";"2020/1"
2001022012;"Kollektiv";"2020/1"
2001022016;"Cykel";"2020/1"
2001022152;"Kollektiv";"2020/1"
2001022207;"Kollektiv";"2020/1"
2001022265;"Bil";"2020/1"
2001022268;"Cykel";"2020/1"
2001022286;"Bil";"2020/1"
2001022333;"Bil";"2020/1"
2001022389;"Bil";"2020/1"
2001022390;"Bil";"2020/1"
2001022832;"Gang";"2020/1"
2001022916;"Bil";"2020/1"
2001022968;"Cykel";"2020/1"
2001023090;"Bil";"2020/1"
2001023091;"Annat";"2020/1"
2001023094;"Cykel";"2020/1"
2001023223;"Kollektiv";"2020/1"
2001023397;"Gang";"2020/1"
2001023455;"Bil";"2020/1"
2001023528;"Bil";"2020/1"
2001024024;"Bil";"2020/1"
2001024320;"Bil";"2020/1"
2001024396;"Bil";"2020/1"
2001024472;"Bil";"2020/1"
2001024628;"Bil";"2020/1"
2001024697;"Bil";"2020/1"
2001024710;"Bil";"2020/1"
2001025479;"Bil";"2020/1"
2001025487;"Kollektiv";"2020/1"
2001026277;"Bil";"2020/1"
2001026582;"Kollektiv";"2020/1"
2001026584;"Bil";"2020/1"
2001026586;"Kollektiv";"2020/1"
2001026718;"Gang";"2020/1"
2001027191;"Bil";"2020/1"
2001027519;"Cykel";"2020/1"
2001027622;"Kollektiv";"2020/1"
2001027739;"Bil";"2020/1"
2001028060;"Gang";"2020/1"
2001028171;"Bil";"2020/1"
2001028572;"Kollektiv";"2020/1"
2001028699;"Gang";"2020/1"
2001029034;"Bil";"2020/1"
2001029035;"Bil";"2020/1"
2001029113;"Bil";"2020/1"
2001029238;"Bil";"2020/1"
2001029301;"Bil";"2020/1"
2001029478;"Bil";"2020/1"
2001029531;"Bil";"2020/1"
2001029971;"Bil";"2020/1"
2001029972;"Bil";"2020/1"
2001031461;"Kollektiv";"2020/1"
2001031463;"Cykel";"2020/1"
2001031468;"Cykel";"2020/1"
2001031472;"Cykel";"2020/1"
2001031486;"Kollektiv";"2020/1"
2001031487;"Kollektiv";"2020/1"
2001031490;"Kollektiv";"2020/1"
2001031495;"Kollektiv";"2020/1"
2001031506;"Kollektiv";"2020/1"
2001031508;"Bil";"2020/1"
2001031515;"Kollektiv";"2020/1"
2001031525;"Kollektiv";"2020/1"
2001031532;"Bil";"2020/1"
2001031546;"Kollektiv";"2020/1"
2001031548;"Bil";"2020/1"
2001031554;"Gang";"2020/1"
2001031559;"Bil";"2020/1"
2001004771;"Bil";"2020/2"
2001006432;"Bil";"2020/2"
2001006607;"Bil";"2020/2"
2001006759;"Bil";"2020/2"
2001007931;"Kollektiv";"2020/2"
2001009761;"Kollektiv";"2020/2"
2001011881;"Kollektiv";"2020/2"
2001011882;"Cykel";"2020/2"
2001012127;"Cykel";"2020/2"
2001015932;"Gang";"2020/2"
2001016521;"Kollektiv";"2020/2"
2001017940;"Kollektiv";"2020/2"
2001019068;"Annat";"2020/2"
2001025249;"Bil";"2020/2"
2001027523;"Cykel";"2020/2"
2001027629;"Kollektiv";"2020/2"
2001027955;"Kollektiv";"2020/2"
2001028278;"Bil";"2020/2"
2001031528;"Kollektiv";"2020/2"
2003020499;"Bil";"2020/2"
2003020590;"Kollektiv";"2020/2"
2020020057;"Kollektiv";"2020/2"
2020020184;"Bil";"2020/2"
2020020272;"Bil";"2020/2"
2020020308;"Bil";"2020/2"
2020020410;"Bil";"2020/2"
2020020504;"Bil";"2020/2"
2020020509;"Kollektiv";"2020/2"
2020020920;"Bil";"2020/2"
2020021078;"Cykel";"2020/2"
2020021221;"Cykel";"2020/2"
2020021434;"Bil";"2020/2"
2020021484;"Bil";"2020/2"
2020021519;"Bil";"2020/2"
2020021572;"Bil";"2020/2"
2020021743;"Cykel";"2020/2"
2020021892;"Bil";"2020/2"
2020021922;"Kollektiv";"2020/2"
2020021987;"Kollektiv";"2020/2"
2020022002;"Bil";"2020/2"
2020022129;"Kollektiv";"2020/2"
2020022362;"Bil";"2020/2"
2020022365;"Kollektiv";"2020/2"
2020022468;"Cykel";"2020/2"
2020022516;"Cykel";"2020/2"
2020022543;"Bil";"2020/2"
2020022569;"Kollektiv";"2020/2"
2020022823;"Kollektiv";"2020/2"
2020022853;"Kollektiv";"2020/2"
2020022893;"Bil";"2020/2"
2020022964;"Cykel";"2020/2"
2020023247;"Kollektiv";"2020/2"
2020023283;"Kollektiv";"2020/2"
2020023343;"Bil";"2020/2"
2020023346;"Kollektiv";"2020/2"
2020023510;"Kollektiv";"2020/2"
2020023517;"Bil";"2020/2"
2020023625;"Bil";"2020/2"
2020023654;"Bil";"2020/2"
2020023706;"Gang";"2020/2"
2020023823;"Bil";"2020/2"
2020023838;"Cykel";"2020/2"
2020023976;"Kollektiv";"2020/2"
2020024020;"Bil";"2020/2"
2020024128;"Kollektiv";"2020/2"
2020024365;"Kollektiv";"2020/2"
2020024378;"Bil";"2020/2"
2020024506;"Bil";"2020/2"
2020024567;"Kollektiv";"2020/2"
2020024607;"Bil";"2020/2"
2020024678;"Kollektiv";"2020/2"
2020024690;"Bil";"2020/2"
2020024942;"Bil";"2020/2"
2020024961;"Bil";"2020/2"
2020025045;"Bil";"2020/2"
2020025240;"Bil";"2020/2"
2020025433;"Bil";"2020/2"
2020025533;"Bil";"2020/2"
2020025784;"Bil";"2020/2"
2020025805;"Cykel";"2020/2"
2020025821;"Bil";"2020/2"
2020026149;"Kollektiv";"2020/2"
2020026227;"Bil";"2020/2"
2020026712;"Annat";"2020/2"
2020026758;"Bil";"2020/2"
2020027015;"Bil";"2020/2"
2020027035;"Bil";"2020/2"
2020027046;"Cykel";"2020/2"
2020027063;"Bil";"2020/2"
2020027071;"Bil";"2020/2"
2020027166;"Bil";"2020/2"
2020027289;"Bil";"2020/2"
2020027430;"Bil";"2020/2"
2020027527;"Cykel";"2020/2"
2020027582;"Cykel";"2020/2"
2020027596;"Gang";"2020/2"
2020027643;"Kollektiv";"2020/2"
2020027853;"Kollektiv";"2020/2"
2020027877;"Cykel";"2020/2"
2020027897;"Bil";"2020/2"
2020027941;"Kollektiv";"2020/2"
2020028007;"Cykel";"2020/2"
2020028018;"Kollektiv";"2020/2"
2020028125;"Kollektiv";"2020/2"
2020028193;"Bil";"2020/2"
2020028309;"Kollektiv";"2020/2"
2020028336;"Bil";"2020/2"
2020028637;"Bil";"2020/2"
2020028713;"Bil";"2020/2"
2020028831;"Kollektiv";"2020/2"
2020028972;"Bil";"2020/2"
2020029067;"Bil";"2020/2"
2020029082;"Bil";"2020/2"
2020029321;"Cykel";"2020/2"
2020029417;"Kollektiv";"2020/2"
2020029421;"Bil";"2020/2"
2020029742;"Cykel";"2020/2"
2020029760;"Bil";"2020/2"
2020029761;"Gang";"2020/2"
2020029887;"Bil";"2020/2"
2020030093;"Bil";"2020/2"
2020030155;"Kollektiv";"2020/2"
2020030182;"Kollektiv";"2020/2"
2020030184;"Kollektiv";"2020/2"
2020030205;"Bil";"2020/2"
2020030330;"Bil";"2020/2"
2020030357;"Cykel";"2020/2"
2020030712;"Cykel";"2020/2"
2020030727;"Kollektiv";"2020/2"
2020030739;"Bil";"2020/2"
2020030817;"Kollektiv";"2020/2"
2020031435;"Bil";"2020/2"
2020031449;"Bil";"2020/2"
2020031464;"Bil";"2020/2"
2020031518;"Bil";"2020/2"
2020031616;"Bil";"2020/2"
2020031713;"Bil";"2020/2"
2020031936;"Kollektiv";"2020/2"
2020032034;"Bil";"2020/2"
2020032178;"Bil";"2020/2"
2020032335;"Bil";"2020/2"
2020032338;"Bil";"2020/2"
2020032362;"Bil";"2020/2"
2020032474;"Kollektiv";"2020/2"
2020032629;"Cykel";"2020/2"
2020033015;"Gang";"2020/2"
2020033294;"Kollektiv";"2020/2"
2020033339;"Kollektiv";"2020/2"
2020033597;"Cykel";"2020/2"
2020033703;"Bil";"2020/2"
2020033775;"Bil";"2020/2"
2020033822;"Kollektiv";"2020/2"
2020033832;"Bil";"2020/2"
2020033839;"Kollektiv";"2020/2"
2020034005;"Bil";"2020/2"
2020034463;"Bil";"2020/2"
2020034601;"Bil";"2020/2"
2020034765;"Cykel";"2020/2"
2020034837;"Kollektiv";"2020/2"
2020034916;"Gang";"2020/2"
2020034971;"Kollektiv";"2020/2"
2020035073;"Bil";"2020/2"
2020035109;"Bil";"2020/2"
2020035116;"Kollektiv";"2020/2"
2020035314;"Kollektiv";"2020/2"
2020035389;"Cykel";"2020/2"
2020035436;"Gang";"2020/2"
2020035579;"Bil";"2020/2"
2020035663;"Kollektiv";"2020/2"
2020035701;"Bil";"2020/2"
2020035806;"Kollektiv";"2020/2"
2020035821;"Bil";"2020/2"
2020035970;"Bil";"2020/2"
2020035984;"Bil";"2020/2"
2020035993;"Bil";"2020/2"
2020036285;"Cykel";"2020/2"
2020037164;"Cykel";"2020/2"
2020037173;"Kollektiv";"2020/2"
2020037524;"Kollektiv";"2020/2"
2020037528;"Gang";"2020/2"
2020037691;"Bil";"2020/2"
2020037745;"Bil";"2020/2"
2020037797;"Cykel";"2020/2"
2020037807;"Gang";"2020/2"
2020037810;"Cykel";"2020/2"
2020038187;"Kollektiv";"2020/2"
2020038410;"Kollektiv";"2020/2"
2020038530;"Kollektiv";"2020/2"
2020038603;"Kollektiv";"2020/2"
2020038617;"Bil";"2020/2"
2020038751;"Bil";"2020/2"
2020038900;"Bil";"2020/2"
2020038966;"Kollektiv";"2020/2"
2020039008;"Kollektiv";"2020/2"
2020039118;"Bil";"2020/2"
2020039136;"Kollektiv";"2020/2"
2020039151;"Bil";"2020/2"
2020039225;"Kollektiv";"2020/2"
2020039430;"Kollektiv";"2020/2"
2020039467;"Kollektiv";"2020/2"
2020039489;"Kollektiv";"2020/2"
2020039526;"Kollektiv";"2020/2"
2020039814;"Bil";"2020/2"
2020039858;"Bil";"2020/2"
2020039871;"Kollektiv";"2020/2"
2020040009;"Bil";"2020/2"
2020040251;"Bil";"2020/2"
2020040264;"Kollektiv";"2020/2"
2020040276;"Cykel";"2020/2"
2020040339;"Kollektiv";"2020/2"
2020040650;"Kollektiv";"2020/2"
2020040806;"Bil";"2020/2"
2020040994;"Cykel";"2020/2"
2020041007;"Bil";"2020/2"
2020041478;"Kollektiv";"2020/2"
2020041490;"Bil";"2020/2"
2020041659;"Cykel";"2020/2"
2020041883;"Cykel";"2020/2"
2020042027;"Cykel";"2020/2"
2020042116;"Kollektiv";"2020/2"
2020042145;"Kollektiv";"2020/2"
2020042219;"Kollektiv";"2020/2"
2020042261;"Gang";"2020/2"
2020042352;"Kollektiv";"2020/2"
2020042396;"Gang";"2020/2"
2020042664;"Kollektiv";"2020/2"
2020042696;"Cykel";"2020/2"
2020042824;"Bil";"2020/2"
2020043038;"Bil";"2020/2"
2020043128;"Kollektiv";"2020/2"
2020043162;"Bil";"2020/2"
2020048336;"Gang";"2020/2"
2020048395;"Bil";"2020/2"
2020048472;"Bil";"2020/2"
2020048590;"Bil";"2020/2"
2020048645;"Kollektiv";"2020/2"
2020048689;"Gang";"2020/2"
2020048759;"Bil";"2020/2"
2020048950;"Kollektiv";"2020/2"
2020049041;"Annat";"2020/2"
2020049055;"Kollektiv";"2020/2"
2020049175;"Bil";"2020/2"
2020049330;"Bil";"2020/2"
2020049452;"Bil";"2020/2"
2020049503;"Bil";"2020/2"
2020049540;"Gang";"2020/2"
2020049666;"Bil";"2020/2"
2020049845;"Cykel";"2020/2"
2020050550;"Bil";"2020/2"
2020050629;"Bil";"2020/2"
2020051254;"Kollektiv";"2020/2"
2020051344;"Bil";"2020/2"
2020051463;"Bil";"2020/2"
2020051745;"Cykel";"2020/2"
2020051807;"Bil";"2020/2"
2020051875;"Bil";"2020/2"
2020052106;"Bil";"2020/2"
2020052262;"Bil";"2020/2"
2001014001;"Cykel";"2020/3"
2001019560;"Kollektiv";"2020/3"
2001020754;"Bil";"2020/3"
2003000058;"Kollektiv";"2020/3"
2003000081;"Kollektiv";"2020/3"
2003000082;"Bil";"2020/3"
2003000104;"Bil";"2020/3"
2003000185;"Bil";"2020/3"
2003000253;"Bil";"2020/3"
2003000342;"Kollektiv";"2020/3"
2003000528;"Kollektiv";"2020/3"
2003000612;"Bil";"2020/3"
2003000654;"Kollektiv";"2020/3"
2003000724;"Bil";"2020/3"
2003000974;"Cykel";"2020/3"
2003000979;"Cykel";"2020/3"
2003001069;"Bil";"2020/3"
2003001079;"Bil";"2020/3"
2003001156;"Gang";"2020/3"
2003001241;"Cykel";"2020/3"
2003001319;"Bil";"2020/3"
2003001320;"Bil";"2020/3"
2003001321;"Cykel";"2020/3"
2003001351;"Kollektiv";"2020/3"
2003001361;"Annat";"2020/3"
2003001367;"Bil";"2020/3"
2003001454;"Kollektiv";"2020/3"
2003001525;"Gang";"2020/3"
2003001567;"Cykel";"2020/3"
2003001583;"Kollektiv";"2020/3"
2003001603;"Gang";"2020/3"
2003001640;"Bil";"2020/3"
2003002368;"Kollektiv";"2020/3"
2003002644;"Kollektiv";"2020/3"
2003002738;"Bil";"2020/3"
2003002952;"Kollektiv";"2020/3"
2003003178;"Bil";"2020/3"
2003003268;"Kollektiv";"2020/3"
2003003341;"Bil";"2020/3"
2003003454;"Bil";"2020/3"
2003003475;"Bil";"2020/3"
2003003507;"Cykel";"2020/3"
2003003693;"Kollektiv";"2020/3"
2003003856;"Kollektiv";"2020/3"
2003003949;"Kollektiv";"2020/3"
2003004009;"Bil";"2020/3"
2003004120;"Kollektiv";"2020/3"
2003004419;"Cykel";"2020/3"
2003004500;"Bil";"2020/3"
2003004718;"Cykel";"2020/3"
2003004729;"Kollektiv";"2020/3"
2003004889;"Gang";"2020/3"
2003005210;"Bil";"2020/3"
2003005269;"Bil";"2020/3"
2003005446;"Kollektiv";"2020/3"
2003005450;"Bil";"2020/3"
2003005555;"Cykel";"2020/3"
2003005573;"Kollektiv";"2020/3"
2003005616;"Bil";"2020/3"
2003005882;"Kollektiv";"2020/3"
2003006038;"Bil";"2020/3"
2003006143;"Bil";"2020/3"
2003006202;"Bil";"2020/3"
2003006209;"Bil";"2020/3"
2003006226;"Bil";"2020/3"
2003006430;"Bil";"2020/3"
2003006460;"Kollektiv";"2020/3"
2003006476;"Cykel";"2020/3"
2003006587;"Bil";"2020/3"
2003006605;"Bil";"2020/3"
2003006620;"Gang";"2020/3"
2003006621;"Kollektiv";"2020/3"
2003006660;"Bil";"2020/3"
2003006663;"Bil";"2020/3"
2003006681;"Kollektiv";"2020/3"
2003006684;"Kollektiv";"2020/3"
2003006812;"Cykel";"2020/3"
2003007048;"Kollektiv";"2020/3"
2003007057;"Bil";"2020/3"
2003007077;"Bil";"2020/3"
2003007096;"Kollektiv";"2020/3"
2003007155;"Kollektiv";"2020/3"
2003007217;"Bil";"2020/3"
2003007248;"Bil";"2020/3"
2003007308;"Bil";"2020/3"
2003007508;"Cykel";"2020/3"
2003007885;"Gang";"2020/3"
2003007982;"Kollektiv";"2020/3"
2003008077;"Cykel";"2020/3"
2003008330;"Kollektiv";"2020/3"
2003008412;"Kollektiv";"2020/3"
2003008441;"Bil";"2020/3"
2003008498;"Kollektiv";"2020/3"
2003008509;"Bil";"2020/3"
2003008622;"Bil";"2020/3"
2003008816;"Bil";"2020/3"
2003008836;"Kollektiv";"2020/3"
2003008883;"Cykel";"2020/3"
2003008973;"Kollektiv";"2020/3"
2003009181;"Kollektiv";"2020/3"
2003009211;"Cykel";"2020/3"
2003009224;"Kollektiv";"2020/3"
2003009313;"Bil";"2020/3"
2003009646;"Bil";"2020/3"
2003009789;"Cykel";"2020/3"
2003009834;"Bil";"2020/3"
2003009939;"Cykel";"2020/3"
2003010097;"Kollektiv";"2020/3"
2003010102;"Kollektiv";"2020/3"
2003010199;"Kollektiv";"2020/3"
2003010205;"Kollektiv";"2020/3"
2003010377;"Bil";"2020/3"
2003010419;"Kollektiv";"2020/3"
2003010521;"Kollektiv";"2020/3"
2003010814;"Bil";"2020/3"
2003010827;"Kollektiv";"2020/3"
2003010843;"Bil";"2020/3"
2003010968;"Bil";"2020/3"
2003011231;"Bil";"2020/3"
2003011292;"Bil";"2020/3"
2003011293;"Cykel";"2020/3"
2003011332;"Bil";"2020/3"
2003011395;"Bil";"2020/3"
2003011580;"Bil";"2020/3"
2003011637;"Bil";"2020/3"
2003011650;"Bil";"2020/3"
2003011862;"Bil";"2020/3"
2003011887;"Gang";"2020/3"
2003011925;"Bil";"2020/3"
2003012129;"Cykel";"2020/3"
2003012225;"Kollektiv";"2020/3"
2003012299;"Kollektiv";"2020/3"
2003012362;"Kollektiv";"2020/3"
2003012441;"Kollektiv";"2020/3"
2003012612;"Bil";"2020/3"
2003012635;"Bil";"2020/3"
2003012777;"Bil";"2020/3"
2003012807;"Cykel";"2020/3"
2003012993;"Cykel";"2020/3"
2003013088;"Bil";"2020/3"
2003013162;"Annat";"2020/3"
2003013282;"Bil";"2020/3"
2003013351;"Kollektiv";"2020/3"
2003013415;"Bil";"2020/3"
2003013567;"Bil";"2020/3"
2003013711;"Kollektiv";"2020/3"
2003013744;"Kollektiv";"2020/3"
2003013824;"Bil";"2020/3"
2003013882;"Gang";"2020/3"
2003013914;"Kollektiv";"2020/3"
2003014346;"Bil";"2020/3"
2003014375;"Bil";"2020/3"
2003014395;"Bil";"2020/3"
2003014406;"Bil";"2020/3"
2003014566;"Kollektiv";"2020/3"
2003014584;"Cykel";"2020/3"
2003014791;"Kollektiv";"2020/3"
2003014951;"Bil";"2020/3"
2003014970;"Bil";"2020/3"
2003015114;"Kollektiv";"2020/3"
2003015120;"Bil";"2020/3"
2003015124;"Bil";"2020/3"
2003015213;"Bil";"2020/3"
2003015298;"Bil";"2020/3"
2003015473;"Cykel";"2020/3"
2003015865;"Kollektiv";"2020/3"
2003015892;"Bil";"2020/3"
2003015954;"Kollektiv";"2020/3"
2003016003;"Cykel";"2020/3"
2003016268;"Bil";"2020/3"
2003016830;"Bil";"2020/3"
2003016966;"Cykel";"2020/3"
2003017017;"Bil";"2020/3"
2003017226;"Cykel";"2020/3"
2003017290;"Kollektiv";"2020/3"
2003017294;"Bil";"2020/3"
2003017512;"Cykel";"2020/3"
2003017538;"Bil";"2020/3"
2003017585;"Kollektiv";"2020/3"
